filename,total_pages,overlay_risk,flagged_pages,has_metadata,metadata_keys,has_attachments,attachment_count,has_annotations,annotation_count,has_forms,form_field_count,has_layers,layer_count,has_javascript,has_actions,has_thumbnails,incremental_updates,security_notes,error
"Davies v. Indyke, No. 119-cv-10788 (S.D.N.Y. 2019)____045.pdf",1,NO,0,YES,1,NO,0,NO,0,NO,0,NO,0,NO,NO,NO,YES,pikepdf not available - some checks skipped,
"Davies v. Indyke, No. 119-cv-10788 (S.D.N.Y. 2019)____046.pdf",2,NO,0,YES,1,NO,0,NO,0,NO,0,NO,0,NO,NO,NO,NO,pikepdf not available - some checks skipped,
"Davies v. Indyke, No. 119-cv-10788 (S.D.N.Y. 2019)____047.pdf",2,NO,0,YES,1,NO,0,NO,0,NO,0,NO,0,NO,NO,NO,NO,pikepdf not available - some checks skipped,
"Davies v. Indyke, No. 119-cv-10788 (S.D.N.Y. 2019)____049.pdf",1,NO,0,YES,1,NO,0,NO,0,NO,0,NO,0,NO,NO,NO,NO,pikepdf not available - some checks skipped,
"Davies v. Indyke, No. 119-cv-10788 (S.D.N.Y. 2019)____050.pdf",1,NO,0,YES,1,NO,0,NO,0,NO,0,NO,0,NO,NO,NO,NO,pikepdf not available - some checks skipped,
"Davies v. Indyke, No. 119-cv-10788 (S.D.N.Y. 2019)____051.pdf",1,NO,0,YES,1,NO,0,NO,0,NO,0,NO,0,NO,NO,NO,NO,pikepdf not available - some checks skipped,
"Davies v. Indyke, No. 119-cv-10788 (S.D.N.Y. 2019)____052.pdf",1,NO,0,YES,1,NO,0,YES,1,NO,0,NO,0,NO,NO,NO,NO,pikepdf not available - some checks skipped,
"Davies v. Indyke, No. 119-cv-10788 (S.D.N.Y. 2019)____053.pdf",2,NO,0,YES,1,NO,0,NO,0,NO,0,NO,0,NO,NO,NO,NO,pikepdf not available - some checks skipped,
"Davies v. Indyke, No. 119-cv-10788 (S.D.N.Y. 2019)____054.pdf",2,NO,0,YES,1,NO,0,NO,0,NO,0,NO,0,NO,NO,NO,NO,pikepdf not available - some checks skipped,
"Davies v. Indyke, No. 119-cv-10788 (S.D.N.Y. 2019)____055.pdf",2,NO,0,YES,1,NO,0,NO,0,NO,0,NO,0,NO,NO,NO,NO,pikepdf not available - some checks skipped,
